name,type,resultTableName,metricType
loganalytics,microsoft.operationalinsights/workspaces,LogAnalytics_Availability,Availability
eventhubs,microsoft.eventhub/namespaces,Eventhubs_Availability,Availability
acr,microsoft.containerregistry/registries,Container_Registry_Availability,Availability
cosmosdb,microsoft.documentdb/databaseaccounts,Cosmosdb_Availability,Availability
aksservernode,microsoft.containerservice/managedclusters,Aksservernode_Availability,Availability
keyvault,microsoft.keyvault/vaults,Keyvault_Availability,Availability
loadbalancer,microsoft.network/loadbalancers,Loadbalancer_Availability,Availability
storage,microsoft.storage/storageaccounts,Storage_Availability,Availability
firewall,microsoft.network/azurefirewalls,Firewall_Availability,Availability
cognitiveservice,microsoft.cognitiveservices/accounts,Cognitive_Svc_Availability,Availability
cognitiveservice,microsoft.cognitiveservices/accounts,Cognitive_Svc_Usage,Usage
cognitiveservice,microsoft.cognitiveservices/accounts,Cognitive_Svc_Latency,Latency
cognitiveservice,microsoft.cognitiveservices/accounts,Cognitive_Svc_RateLimit,Ratelimit
